section	opcode_id	opcode	generated_type	source_line	operand_words	widths	classification	semantic_role	owner_task	family	operands	semantic_operands	cache_only_operands	metadata_fields	checkpoints	temporaries	lowering_status
Bytecode	0	op_tail_call_varargs	OpTailCallVarargs	90	7	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,thisValue,arguments,firstFree,firstVarArg	5	1	callLinkInfo	determiningArgCount,makeCall	argCountIncludingThis	inventoried
Bytecode	1	op_call_varargs	OpCallVarargs	110	8	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,thisValue,arguments,firstFree,firstVarArg,valueProfile	5	2	callLinkInfo	determiningArgCount,makeCall	argCountIncludingThis	inventoried
Bytecode	2	op_iterator_next	OpIteratorNext	132	10	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	done,value,iterable,next,iterator,stackOffset,nextResultValueProfile,doneValueProfile,valueValueProfile	5	4	callLinkInfo,doneModeMetadata,valueModeMetadata,iterableProfile,iterationMetadata	computeNext,getDone,getValue	nextResult	inventoried
Bytecode	3	op_construct_varargs	OpConstructVarargs	160	8	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,thisValue,arguments,firstFree,firstVarArg,valueProfile	5	2	callLinkInfo	determiningArgCount,makeCall	argCountIncludingThis	inventoried
Bytecode	4	op_super_construct_varargs	OpSuperConstructVarargs	181	8	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,thisValue,arguments,firstFree,firstVarArg,valueProfile	5	2	callLinkInfo,cachedCallee	determiningArgCount,makeCall	argCountIncludingThis	inventoried
Bytecode	5	op_iterator_open	OpIteratorOpen	207	9	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	iterator,next,symbolIterator,iterable,stackOffset,iterableValueProfile,iteratorValueProfile,nextValueProfile	4	4	callLinkInfo,modeMetadata,arrayProfile,iterationMetadata	symbolCall,getNext		inventoried
Bytecode	6	op_async_iterator_open	OpAsyncIteratorOpen	231	9	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	iterator,next,symbolIterator,iterable,stackOffset,iterableValueProfile,iteratorValueProfile,nextValueProfile	4	4	callLinkInfo,modeMetadata,iterationMetadata	symbolCall,getNext		inventoried
Bytecode	7	op_instanceof	OpInstanceof	253	7	narrow,wide16,wide32	semantic	execution	H014	object_property	dst,value,constructor,hasInstanceOrPrototype,hasInstanceValueProfile,prototypeValueProfile	4	2	hasInstanceModeMetadata,prototypeModeMetadata	getHasInstance,getPrototype,instanceof		inventoried
Bytecode	8	op_set_private_brand	OpSetPrivateBrand	274	3	narrow,wide16,wide32	semantic	execution	H014	object_property	base,brand	2	0	oldStructureID,newStructureID,brand			inventoried
Bytecode	9	op_check_private_brand	OpCheckPrivateBrand	284	3	narrow,wide16,wide32	semantic	execution	H014	object_property	base,brand	2	0	structureID,brand			inventoried
Bytecode	10	op_put_by_id	OpPutById	294	5	narrow,wide16,wide32	semantic	execution	H014	object_property	base,property,value,flags	4	0	oldStructureID,offset,newStructureID,structureChain			inventoried
Bytecode	11	op_construct	OpConstruct	308	6	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,argc,argv,valueProfile	4	1	callLinkInfo			inventoried
Bytecode	12	op_super_construct	OpSuperConstruct	320	6	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,argc,argv,valueProfile	4	1	callLinkInfo,cachedCallee			inventoried
Bytecode	13	op_tail_call	OpTailCall	333	5	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee,argc,argv	4	0	callLinkInfo,arrayProfile			inventoried
Bytecode	14	op_call_direct_eval	OpCallDirectEval	345	9	narrow,wide16,wide32	semantic	execution	H017	module_eval	dst,callee,argc,argv,thisValue,scope,lexicallyScopedFeatures,valueProfile	7	1	callLinkInfo			inventoried
Bytecode	15	op_create_generator	OpCreateGenerator	360	3	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee	2	0	cachedCallee			inventoried
Bytecode	16	op_create_async_generator	OpCreateAsyncGenerator	360	3	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee	2	0	cachedCallee			inventoried
Bytecode	17	op_create_promise	OpCreatePromise	373	3	narrow,wide16,wide32	semantic	execution	H015	function_async_scope	dst,callee	2	0	cachedCallee			inventoried
Bytecode	18	op_catch	OpCatch	382	3	narrow,wide16,wide32	semantic	execution	H016	exception_abrupt	exception,thrownValue	2	0	buffer			inventoried
Bytecode	19	op_new_array_with_size	OpNewArrayWithSize	391	3	narrow,wide16,wide32	semantic	execution	H014	object_property	dst,length	2	0	arrayAllocationProfile			inventoried
Bytecode	20	op_new_array_buffer	OpNewArrayBuffer	400	4	narrow,wide16,wide32	semantic	execution	H014	object_property	dst,immutableButterfly,recommendedIndexingType	2	1	arrayAllocationProfile			inventoried
Bytecode	21	op_get_by_id	OpGetById	410	5	narrow,wide16,wide32	semantic	execution	H014	object_property	dst,base,property,valueProfile	3	1	modeMetadata			inventoried
Bytecode	22	op_get_length	OpGetLength	421	4	narrow,wide16,wide32	semantic	execution	H014	object_property	dst,base,valueProfile	2	1	modeMetadata,arrayProfile			inventoried
Bytecode	23	op_profile_type	OpProfileType	432	6	narrow,wide16,wide32	cache_only	cache_only	H006	encoding_or_dispatch	targetVirtualRegister,symbolTableOrScopeDepth,flag,identifier,resolveType	0	5	typeLocation			excluded
Bytecode	24	op_profile_control_flow	OpProfileControlFlow	444	2	narrow,wide16,wide32	cache_only	cache_only	H006	encoding_or_dispatch	textOffset	0	1	basicBlockLocation			excluded
