id	kind	source	symbol	line	sha256	strategy
E0000	build_time_eval	src/js/eval/feedback.ts	feedback	1	db6321c16d3426aa0ccb70d7f2417602441f355838e1ac998a78bac65ad47a88	build_time_only
E0001	build_time_eval	src/js/eval/fuzzilli-reprl.ts	fuzzilli-reprl	1	dec0b8268b53900d3fc2cd83ef0cd085ad479277d3d52b274a9f0d6b7bfb1b05	build_time_only
E0002	build_time_eval	src/js/eval/node-repl.ts	node-repl	1	d8b8453e70bb4848f975081bb5df31a88cdccb94fb7aebfa08f7deee232bb989	build_time_only
F0000	builtin_function	src/js/builtins/Bake.ts	renderRoutesForProdStatic	14	2a46fbb6e8946b1bb3e4e7a852714979e5d479656e14d6e5625240afbefbe0d0	generic_native
F0001	builtin_function	src/js/builtins/BakeSSRResponse.ts	wrapComponent	1	f674e4b0afe55aece30beea1b59a01975dc96ab619e0ece6677b2a02dea655bf	generic_native
F0002	builtin_function	src/js/builtins/BundlerPlugin.ts	loadAndResolvePluginsForServe	52	e5d8c129245d4d834b52643f4aae322180c7aed706fdd1214ac3907b7df2ca15	generic_native
F0003	builtin_function	src/js/builtins/BundlerPlugin.ts	runOnEndCallbacks	109	e5d8c129245d4d834b52643f4aae322180c7aed706fdd1214ac3907b7df2ca15	generic_native
F0004	builtin_function	src/js/builtins/BundlerPlugin.ts	runSetupFunction	157	e5d8c129245d4d834b52643f4aae322180c7aed706fdd1214ac3907b7df2ca15	generic_native
F0005	builtin_function	src/js/builtins/BundlerPlugin.ts	runOnResolvePlugins	400	e5d8c129245d4d834b52643f4aae322180c7aed706fdd1214ac3907b7df2ca15	generic_native
F0006	builtin_function	src/js/builtins/BundlerPlugin.ts	runOnLoadPlugins	500	e5d8c129245d4d834b52643f4aae322180c7aed706fdd1214ac3907b7df2ca15	generic_native
F0007	builtin_function	src/js/builtins/CommonJS.ts	main	4	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0008	builtin_function	src/js/builtins/CommonJS.ts	require	10	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0009	builtin_function	src/js/builtins/CommonJS.ts	overridableRequire	18	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0010	builtin_function	src/js/builtins/CommonJS.ts	requireResolve	147	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0011	builtin_function	src/js/builtins/CommonJS.ts	internalRequire	162	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0012	builtin_function	src/js/builtins/CommonJS.ts	loadEsmIntoCjs	177	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0013	builtin_function	src/js/builtins/CommonJS.ts	requireESM	320	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0014	builtin_function	src/js/builtins/CommonJS.ts	requireESMFromHijackedExtension	331	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0015	builtin_function	src/js/builtins/CommonJS.ts	createRequireCache	365	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0016	builtin_function	src/js/builtins/CommonJS.ts	getWrapperArrayProxy	432	1957d06bae985a325bf00c17ef6f35a65ee3ba804643a1ad0c1454e1cdb32bd4	generic_native
F0017	builtin_function	src/js/builtins/CompressionStream.ts	initializeCompressionStream	1	da1f2945c3e79a4c2f5ef470b1edb977712e15e96b4d00a6b6caa27bc365d1b3	generic_native
F0018	builtin_function	src/js/builtins/CompressionStream.ts	readable	24	da1f2945c3e79a4c2f5ef470b1edb977712e15e96b4d00a6b6caa27bc365d1b3	generic_native
F0019	builtin_function	src/js/builtins/CompressionStream.ts	writable	30	da1f2945c3e79a4c2f5ef470b1edb977712e15e96b4d00a6b6caa27bc365d1b3	generic_native
F0020	builtin_function	src/js/builtins/ConsoleObject.ts	asyncIterator	2	05d8472921c509322dca33b98d6280d1437ff89d73c03912e7a78957e0e1effc	generic_native
F0021	builtin_function	src/js/builtins/ConsoleObject.ts	write	118	05d8472921c509322dca33b98d6280d1437ff89d73c03912e7a78957e0e1effc	generic_native
F0022	builtin_function	src/js/builtins/ConsoleObject.ts	createConsoleConstructor	144	05d8472921c509322dca33b98d6280d1437ff89d73c03912e7a78957e0e1effc	generic_native
F0023	builtin_function	src/js/builtins/DecompressionStream.ts	initializeDecompressionStream	1	ef7fe4ee75bfdbfbb0340e1de7118edeeddfa1080c7eb264c5860185503a29c2	generic_native
F0024	builtin_function	src/js/builtins/DecompressionStream.ts	readable	26	ef7fe4ee75bfdbfbb0340e1de7118edeeddfa1080c7eb264c5860185503a29c2	generic_native
F0025	builtin_function	src/js/builtins/DecompressionStream.ts	writable	32	ef7fe4ee75bfdbfbb0340e1de7118edeeddfa1080c7eb264c5860185503a29c2	generic_native
F0026	builtin_function	src/js/builtins/Fifo.ts	createFIFO	5	9bbf7e4753e7957cc6d7e94202dbe7578949a47991ec2890568c00ee5afba0ea	generic_native
F0027	builtin_function	src/js/builtins/Glob.ts	scan	6	a6a6551b9c7809e7a5bb230f49c13d959247698084b7ef58504e1bb7b19e3ebf	generic_native
F0028	builtin_function	src/js/builtins/Glob.ts	scanSync	15	a6a6551b9c7809e7a5bb230f49c13d959247698084b7ef58504e1bb7b19e3ebf	generic_native
F0029	builtin_function	src/js/builtins/ImportMetaObject.ts	main	4	ede9c9c74fadc4819e2f2d715389fe55f77c8a6944eb0482ca76f8e1f11cbf83	generic_native
F0030	builtin_function	src/js/builtins/Ipc.ts	serialize	148	5b5fa530189e83354af79c83f05c9cd75e5dfe15c1a5e55c404da95970db778c	generic_native
F0031	builtin_function	src/js/builtins/Ipc.ts	parseHandle	214	5b5fa530189e83354af79c83f05c9cd75e5dfe15c1a5e55c404da95970db778c	generic_native
F0032	builtin_function	src/js/builtins/JSBufferConstructor.ts	from	4	4a0179e972339c9bf4a84b9e59b27c70ea7907468292338d683f72983f3fb927	generic_native
F0033	builtin_function	src/js/builtins/JSBufferConstructor.ts	isBuffer	44	4a0179e972339c9bf4a84b9e59b27c70ea7907468292338d683f72983f3fb927	generic_native
F0034	builtin_function	src/js/builtins/JSBufferPrototype.ts	setBigUint64	11	47d02228d6c6edfcc6b17298eca06ce1bbabfdb9895ec2f32ac73a3caa2945cc	generic_native
F0035	builtin_function	src/js/builtins/JSBufferPrototype.ts	readInt8	19	47d02228d6c6edfcc6b17298eca06ce1bbabfdb9895ec2f32ac73a3caa2945cc	generic_native
